strategy,parameter,level,count,dominant_transmission,dominant_count,dominant_share,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
refurbishment_support,eta_service,1.5,2915,upstream_expansion,1213,0.41612349914236707,0.2782161234991424,0.13893653516295026,0.2782161234991424,-0.001246117055637207,-0.06360611902330694,0.0512557772490011,-8.119095041636946
refurbishment_support,metal_quality,0.75,2899,upstream_expansion,1119,0.38599517074853396,0.33045877888927216,0.08658157985512245,0.33045877888927216,-0.003355842980551268,-0.06466674612464506,0.13472070252904522,-6.23498272575358
refurbishment_support,metal_quality,0.85,2886,upstream_expansion,1117,0.387040887040887,0.32813582813582814,0.08697158697158697,0.32813582813582814,-0.0033032118655812854,-0.06453696661690028,0.1326684410110468,-6.211857101509556
refurbishment_support,metal_quality,0.95,2910,upstream_expansion,1082,0.3718213058419244,0.3443298969072165,0.08625429553264605,0.3443298969072165,-0.003316729804478058,-0.06457250461126512,0.13319723143584059,-6.258979879354995
refurbishment_support,metal_intensity_ref,0.15,2875,upstream_expansion,1166,0.40556521739130436,0.3217391304347826,0.05008695652173913,0.3217391304347826,-0.003958911185888764,-0.06733540523859188,0.15887510838168764,-7.184162928609155
refurbishment_support,metal_intensity_ref,0.25,2910,upstream_expansion,1158,0.3979381443298969,0.32989690721649484,0.049484536082474224,0.32989690721649484,-0.003997480454513121,-0.06814311402866707,0.1603574700588166,-7.244484763285544
refurbishment_support,metal_intensity_ref,0.35,2910,upstream_expansion,994,0.3415807560137457,0.35120274914089344,0.15979381443298968,0.35120274914089344,-0.002027080478918724,-0.05833086570657352,0.08166123931249859,-4.288778998256693
refurbishment_support,yield_ref,3.0,2911,upstream_contraction_with_circular_expansion,1028,0.35314324974235656,0.3861216076949502,0.14840261078667125,0.3861216076949502,-0.0007072876540849117,-0.05404080026729276,0.029758655279239675,-3.265437459242031
refurbishment_support,yield_ref,4.0,2910,upstream_expansion,1234,0.4240549828178694,0.30859106529209623,0.05463917525773196,0.30859106529209623,-0.004751863366034655,-0.07012886534369868,0.19011443212413726,-7.769515562958323
refurbishment_support,yield_ref,5.0,2874,upstream_expansion,1215,0.42275574112734865,0.3079331941544885,0.05636743215031315,0.3079331941544885,-0.004532534871090759,-0.06967320924225794,0.18134305423408945,-7.690079065336454
recycling_support,sigma_routes,1.25,2916,upstream_contraction_with_service_contraction,1612,0.5528120713305898,0.5682441700960219,0.0,0.5682441700960219,-0.009946059593608529,-0.0773766441502817,0.3942601375797771,-13.395912361538784
recycling_support,sigma_routes,2.0,2903,upstream_contraction_with_service_contraction,1368,0.47123665173957974,0.4863933861522563,0.0,0.4863933861522563,-0.0037299356044215685,-0.06217660869154608,0.1483191234019431,-13.266570557076982
